PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,1846,1846,1,f,0,1,TL,11,O,1452,.,.,.,1
NOR,1,1846,1846,1,f,0,1,VV,11,O,1150,.,.,.,1
NOR,1,1846,1846,1,f,1,1,VV,11,O,504,.,.,.,1
NOR,1,1846,1846,1,f,2,1,VV,11,O,393,.,.,.,1
NOR,1,1846,1846,1,f,3,1,VV,11,O,295,.,.,.,1
NOR,1,1846,1846,1,f,4,1,VV,11,O,172,.,.,.,1
NOR,1,1846,1846,1,f,5,1,VV,11,O,132,.,.,.,1
NOR,1,1846,1846,1,f,6,1,VV,11,O,107,.,.,.,1
NOR,1,1846,1846,1,f,7,1,VV,11,O,90,.,.,.,1
NOR,1,1846,1846,1,f,8,1,VV,11,O,80,.,.,.,1
NOR,1,1846,1846,1,f,9,1,VV,11,O,45,.,.,.,1
NOR,1,1846,1846,1,f,10,1,VV,11,O,44,.,.,.,1
NOR,1,1846,1846,1,f,11,1,VV,11,O,37,.,.,.,1
NOR,1,1846,1846,1,f,12,1,VV,11,O,41,.,.,.,1
NOR,1,1846,1846,1,f,13,1,VV,11,O,46,.,.,.,1
NOR,1,1846,1846,1,f,14,1,VV,11,O,47,.,.,.,1
NOR,1,1846,1846,1,f,15,1,VV,11,O,53,.,.,.,1
NOR,1,1846,1846,1,f,16,1,VV,11,O,49,.,.,.,1
NOR,1,1846,1846,1,f,17,1,VV,11,O,46,.,.,.,1
NOR,1,1846,1846,1,f,18,1,VV,11,O,51,.,.,.,1
NOR,1,1846,1846,1,f,19,1,VV,11,O,70,.,.,.,1
NOR,1,1846,1846,1,f,20,1,VV,11,O,71,.,.,.,1
NOR,1,1846,1846,1,f,21,1,VV,11,O,71,.,.,.,1
NOR,1,1846,1846,1,f,22,1,VV,11,O,69,.,.,.,1
NOR,1,1846,1846,1,f,23,1,VV,11,O,75,.,.,.,1
NOR,1,1846,1846,1,f,24,1,VV,11,O,72,.,.,.,1
NOR,1,1846,1846,1,f,25,1,VV,11,O,72,.,.,.,1
NOR,1,1846,1846,1,f,26,1,VV,11,O,69,.,.,.,1
NOR,1,1846,1846,1,f,27,1,VV,11,O,71,.,.,.,1
NOR,1,1846,1846,1,f,28,1,VV,11,O,66,.,.,.,1
NOR,1,1846,1846,1,f,29,1,VV,11,O,75,.,.,.,1
NOR,1,1846,1846,1,f,30,1,VV,11,O,61,.,.,.,1
NOR,1,1846,1846,1,f,31,1,VV,11,O,67,.,.,.,1
NOR,1,1846,1846,1,f,32,1,VV,11,O,65,.,.,.,1
NOR,1,1846,1846,1,f,33,1,VV,11,O,66,.,.,.,1
NOR,1,1846,1846,1,f,34,1,VV,11,O,58,.,.,.,1
NOR,1,1846,1846,1,f,35,1,VV,11,O,67,.,.,.,1
NOR,1,1846,1846,1,f,36,1,VV,11,O,55,.,.,.,1
NOR,1,1846,1846,1,f,37,1,VV,11,O,63,.,.,.,1
NOR,1,1846,1846,1,f,38,1,VV,11,O,53,.,.,.,1
NOR,1,1846,1846,1,f,39,1,VV,11,O,76,.,.,.,1
NOR,1,1846,1846,1,f,40,1,VV,11,O,59,.,.,.,1
NOR,1,1846,1846,1,f,41,1,VV,11,O,67,.,.,.,1
NOR,1,1846,1846,1,f,42,1,VV,11,O,65,.,.,.,1
NOR,1,1846,1846,1,f,43,1,VV,11,O,68,.,.,.,1
NOR,1,1846,1846,1,f,44,1,VV,11,O,66,.,.,.,1
NOR,1,1846,1846,1,f,45,1,VV,11,O,65,.,.,.,1
NOR,1,1846,1846,1,f,46,1,VV,11,O,63,.,.,.,1
NOR,1,1846,1846,1,f,47,1,VV,11,O,70,.,.,.,1
NOR,1,1846,1846,1,f,48,1,VV,11,O,63,.,.,.,1
NOR,1,1846,1846,1,f,49,1,VV,11,O,87,.,.,.,1
NOR,1,1846,1846,1,f,50,1,VV,11,O,70,.,.,.,1
NOR,1,1846,1846,1,f,51,1,VV,11,O,79,.,.,.,1
NOR,1,1846,1846,1,f,52,1,VV,11,O,91,.,.,.,1
NOR,1,1846,1846,1,f,53,1,VV,11,O,87,.,.,.,1
NOR,1,1846,1846,1,f,54,1,VV,11,O,93,.,.,.,1
NOR,1,1846,1846,1,f,55,1,VV,11,O,96,.,.,.,1
NOR,1,1846,1846,1,f,56,1,VV,11,O,83,.,.,.,1
NOR,1,1846,1846,1,f,57,1,VV,11,O,87,.,.,.,1
NOR,1,1846,1846,1,f,58,1,VV,11,O,87,.,.,.,1
NOR,1,1846,1846,1,f,59,1,VV,11,O,143,.,.,.,1
NOR,1,1846,1846,1,f,60,1,VV,11,O,100,.,.,.,1
NOR,1,1846,1846,1,f,61,1,VV,11,O,100,.,.,.,1
NOR,1,1846,1846,1,f,62,1,VV,11,O,110,.,.,.,1
NOR,1,1846,1846,1,f,63,1,VV,11,O,125,.,.,.,1
NOR,1,1846,1846,1,f,64,1,VV,11,O,117,.,.,.,1
NOR,1,1846,1846,1,f,65,1,VV,11,O,127,.,.,.,1
NOR,1,1846,1846,1,f,66,1,VV,11,O,116,.,.,.,1
NOR,1,1846,1846,1,f,67,1,VV,11,O,133,.,.,.,1
NOR,1,1846,1846,1,f,68,1,VV,11,O,118,.,.,.,1
NOR,1,1846,1846,1,f,69,1,VV,11,O,149,.,.,.,1
NOR,1,1846,1846,1,f,70,1,VV,11,O,104,.,.,.,1
NOR,1,1846,1846,1,f,71,1,VV,11,O,128,.,.,.,1
NOR,1,1846,1846,1,f,72,1,VV,11,O,124,.,.,.,1
NOR,1,1846,1846,1,f,73,1,VV,11,O,145,.,.,.,1
NOR,1,1846,1846,1,f,74,1,VV,11,O,160,.,.,.,1
NOR,1,1846,1846,1,f,75,1,VV,11,O,148,.,.,.,1
NOR,1,1846,1846,1,f,76,1,VV,11,O,163,.,.,.,1
NOR,1,1846,1846,1,f,77,1,VV,11,O,159,.,.,.,1
NOR,1,1846,1846,1,f,78,1,VV,11,O,134,.,.,.,1
NOR,1,1846,1846,1,f,79,1,VV,11,O,189,.,.,.,1
NOR,1,1846,1846,1,f,80,1,VV,11,O,111,.,.,.,1
NOR,1,1846,1846,1,f,81,1,VV,11,O,123,.,.,.,1
NOR,1,1846,1846,1,f,82,1,VV,11,O,124,.,.,.,1
NOR,1,1846,1846,1,f,83,1,VV,11,O,130,.,.,.,1
NOR,1,1846,1846,1,f,84,1,VV,11,O,108,.,.,.,1
NOR,1,1846,1846,1,f,85,1,VV,11,O,95,.,.,.,1
NOR,1,1846,1846,1,f,86,1,VV,11,O,87,.,.,.,1
NOR,1,1846,1846,1,f,87,1,VV,11,O,81,.,.,.,1
NOR,1,1846,1846,1,f,88,1,VV,11,O,60,.,.,.,1
NOR,1,1846,1846,1,f,89,1,VV,11,O,86,.,.,.,1
NOR,1,1846,1846,1,f,90,1,VV,11,O,43,.,.,.,1
NOR,1,1846,1846,1,f,91,1,VV,11,O,37,.,.,.,1
NOR,1,1846,1846,1,f,92,1,VV,11,O,31,.,.,.,1
NOR,1,1846,1846,1,f,93,1,VV,11,O,25,.,.,.,1
NOR,1,1846,1846,1,f,94,1,VV,11,O,22,.,.,.,1
NOR,1,1846,1846,1,f,95,1,VV,11,O,20,.,.,.,1
NOR,1,1846,1846,1,f,96,1,VV,11,O,18,.,.,.,1
NOR,1,1846,1846,1,f,97,1,VV,11,O,12,.,.,.,1
NOR,1,1846,1846,1,f,98,1,VV,11,O,5,.,.,.,1
NOR,1,1846,1846,1,f,99,1,VV,11,O,13,.,.,.,1
NOR,1,1846,1846,1,f,100,1,VV,11,O,4,.,.,.,1
NOR,1,1846,1846,1,f,101,1,VV,11,O,1,.,.,.,1
NOR,1,1846,1846,1,f,102,1,VV,11,O,2,.,.,.,1
NOR,1,1846,1846,1,f,103,1,VV,11,O,1,.,.,.,1
NOR,1,1846,1846,1,f,104,1,VV,11,O,1,.,.,.,1
NOR,1,1846,1846,1,f,105,1,VV,11,O,1,.,.,.,1
NOR,1,1846,1846,1,m,0,1,TL,11,O,1876,.,.,.,1
NOR,1,1846,1846,1,m,0,1,VV,11,O,1241,.,.,.,1
NOR,1,1846,1846,1,m,1,1,VV,11,O,545,.,.,.,1
NOR,1,1846,1846,1,m,2,1,VV,11,O,374,.,.,.,1
NOR,1,1846,1846,1,m,3,1,VV,11,O,282,.,.,.,1
NOR,1,1846,1846,1,m,4,1,VV,11,O,166,.,.,.,1
NOR,1,1846,1846,1,m,5,1,VV,11,O,135,.,.,.,1
