PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
PRT,10,1929,1929,1,f,0,1,RR,5,O,14052,.,.,.,0
PRT,10,1929,1929,1,f,1,1,RR,5,O,3444,.,.,.,0
PRT,10,1929,1929,1,f,2,1,RR,5,O,3051,.,.,.,0
PRT,10,1929,1929,1,f,3,1,RR,5,O,780,.,.,.,0
PRT,10,1929,1929,1,f,4,1,RR,5,O,539,.,.,.,0
PRT,10,1929,1929,1,f,5,5,RR,5,O,1115,.,.,.,0
PRT,10,1929,1929,1,f,10,5,RR,5,O,768,.,.,.,0
PRT,10,1929,1929,1,f,15,5,RR,5,O,1358,.,.,.,0
PRT,10,1929,1929,1,f,20,5,RR,5,O,1775,.,.,.,0
PRT,10,1929,1929,1,f,25,5,RR,5,O,1690,.,.,.,0
PRT,10,1929,1929,1,f,30,5,RR,5,O,1465,.,.,.,0
PRT,10,1929,1929,1,f,35,5,RR,5,O,1397,.,.,.,0
PRT,10,1929,1929,1,f,40,5,RR,5,O,1376,.,.,.,0
PRT,10,1929,1929,1,f,45,5,RR,5,O,1448,.,.,.,0
PRT,10,1929,1929,1,f,50,5,RR,5,O,1699,.,.,.,0
PRT,10,1929,1929,1,f,55,5,RR,5,O,1832,.,.,.,0
PRT,10,1929,1929,1,f,60,5,RR,5,O,2667,.,.,.,0
PRT,10,1929,1929,1,f,65,5,RR,5,O,2930,.,.,.,0
PRT,10,1929,1929,1,f,70,5,RR,5,O,3981,.,.,.,0
PRT,10,1929,1929,1,f,75,5,RR,5,O,3878,.,.,.,0
PRT,10,1929,1929,1,f,80,1,RR,5,O,1616,.,.,.,0
PRT,10,1929,1929,1,f,81,1,RR,5,O,422,.,.,.,0
PRT,10,1929,1929,1,f,82,1,RR,5,O,597,.,.,.,0
PRT,10,1929,1929,1,f,83,1,RR,5,O,440,.,.,.,0
PRT,10,1929,1929,1,f,84,1,RR,5,O,542,.,.,.,0
PRT,10,1929,1929,1,f,85,1,RR,5,O,746,.,.,.,0
PRT,10,1929,1929,1,f,86,1,RR,5,O,377,.,.,.,0
PRT,10,1929,1929,1,f,87,1,RR,5,O,284,.,.,.,0
PRT,10,1929,1929,1,f,88,1,RR,5,O,332,.,.,.,0
PRT,10,1929,1929,1,f,89,1,RR,5,O,208,.,.,.,0
PRT,10,1929,1929,1,f,90,1,RR,5,O,428,.,.,.,0
PRT,10,1929,1929,1,f,91,1,RR,5,O,108,.,.,.,0
PRT,10,1929,1929,1,f,92,1,RR,5,O,162,.,.,.,0
PRT,10,1929,1929,1,f,93,1,RR,5,O,102,.,.,.,0
PRT,10,1929,1929,1,f,94,1,RR,5,O,111,.,.,.,0
PRT,10,1929,1929,1,f,95,1,RR,5,O,138,.,.,.,0
PRT,10,1929,1929,1,f,96,1,RR,5,O,89,.,.,.,0
PRT,10,1929,1929,1,f,97,1,RR,5,O,66,.,.,.,0
PRT,10,1929,1929,1,f,98,1,RR,5,O,67,.,.,.,0
PRT,10,1929,1929,1,f,99,1,RR,5,O,22,.,.,.,0
PRT,10,1929,1929,1,f,100,1,RR,5,O,54,.,.,.,0
PRT,10,1929,1929,1,f,101,+,RR,5,O,54,.,.,.,0
PRT,10,1929,1929,1,f,TOT,.,RR,5,O,58480,.,.,.,0
PRT,10,1929,1929,1,f,UNK,.,RR,5,O,270,.,.,.,0
PRT,10,1929,1929,1,m,0,1,RR,5,O,16325,.,.,.,0
PRT,10,1929,1929,1,m,1,1,RR,5,O,3587,.,.,.,0
PRT,10,1929,1929,1,m,2,1,RR,5,O,3306,.,.,.,0
PRT,10,1929,1929,1,m,3,1,RR,5,O,825,.,.,.,0
PRT,10,1929,1929,1,m,4,1,RR,5,O,579,.,.,.,0
PRT,10,1929,1929,1,m,5,5,RR,5,O,1163,.,.,.,0
PRT,10,1929,1929,1,m,10,5,RR,5,O,798,.,.,.,0
PRT,10,1929,1929,1,m,15,5,RR,5,O,1325,.,.,.,0
PRT,10,1929,1929,1,m,20,5,RR,5,O,1885,.,.,.,0
PRT,10,1929,1929,1,m,25,5,RR,5,O,1798,.,.,.,0
PRT,10,1929,1929,1,m,30,5,RR,5,O,1524,.,.,.,0
PRT,10,1929,1929,1,m,35,5,RR,5,O,1653,.,.,.,0
PRT,10,1929,1929,1,m,40,5,RR,5,O,1679,.,.,.,0
PRT,10,1929,1929,1,m,45,5,RR,5,O,1831,.,.,.,0
PRT,10,1929,1929,1,m,50,5,RR,5,O,2118,.,.,.,0
PRT,10,1929,1929,1,m,55,5,RR,5,O,2324,.,.,.,0
PRT,10,1929,1929,1,m,60,5,RR,5,O,2961,.,.,.,0
PRT,10,1929,1929,1,m,65,5,RR,5,O,3205,.,.,.,0
PRT,10,1929,1929,1,m,70,5,RR,5,O,3485,.,.,.,0
PRT,10,1929,1929,1,m,75,5,RR,5,O,3242,.,.,.,0
PRT,10,1929,1929,1,m,80,1,RR,5,O,953,.,.,.,0
PRT,10,1929,1929,1,m,81,1,RR,5,O,306,.,.,.,0
PRT,10,1929,1929,1,m,82,1,RR,5,O,460,.,.,.,0
PRT,10,1929,1929,1,m,83,1,RR,5,O,344,.,.,.,0
PRT,10,1929,1929,1,m,84,1,RR,5,O,371,.,.,.,0
PRT,10,1929,1929,1,m,85,1,RR,5,O,455,.,.,.,0
PRT,10,1929,1929,1,m,86,1,RR,5,O,268,.,.,.,0
PRT,10,1929,1929,1,m,87,1,RR,5,O,205,.,.,.,0
PRT,10,1929,1929,1,m,88,1,RR,5,O,232,.,.,.,0
PRT,10,1929,1929,1,m,89,1,RR,5,O,117,.,.,.,0
PRT,10,1929,1929,1,m,90,1,RR,5,O,219,.,.,.,0
PRT,10,1929,1929,1,m,91,1,RR,5,O,45,.,.,.,0
PRT,10,1929,1929,1,m,92,1,RR,5,O,64,.,.,.,0
PRT,10,1929,1929,1,m,93,1,RR,5,O,56,.,.,.,0
PRT,10,1929,1929,1,m,94,1,RR,5,O,28,.,.,.,0
PRT,10,1929,1929,1,m,95,1,RR,5,O,57,.,.,.,0
PRT,10,1929,1929,1,m,96,1,RR,5,O,50,.,.,.,0
PRT,10,1929,1929,1,m,97,1,RR,5,O,18,.,.,.,0
PRT,10,1929,1929,1,m,98,1,RR,5,O,29,.,.,.,0
