PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
NOR,1,f,0,1,E,1,1,1846,11,O,17990,.,.,.,1
NOR,1,f,1,1,E,1,1,1846,11,O,16132,.,.,.,1
NOR,1,f,2,1,E,1,1,1846,11,O,16404,.,.,.,1
NOR,1,f,3,1,E,1,1,1846,11,O,17564,.,.,.,1
NOR,1,f,4,1,E,1,1,1846,11,O,16352,.,.,.,1
NOR,1,f,5,1,E,1,1,1846,11,O,14538,.,.,.,1
NOR,1,f,6,1,E,1,1,1846,11,O,13426,.,.,.,1
NOR,1,f,7,1,E,1,1,1846,11,O,13531,.,.,.,1
NOR,1,f,8,1,E,1,1,1846,11,O,13664,.,.,.,1
NOR,1,f,9,1,E,1,1,1846,11,O,13746,.,.,.,1
NOR,1,f,10,1,E,1,1,1846,11,O,14814,.,.,.,1
NOR,1,f,11,1,E,1,1,1846,11,O,14058,.,.,.,1
NOR,1,f,12,1,E,1,1,1846,11,O,13270,.,.,.,1
NOR,1,f,13,1,E,1,1,1846,11,O,12576,.,.,.,1
NOR,1,f,14,1,E,1,1,1846,11,O,12784,.,.,.,1
NOR,1,f,15,1,E,1,1,1846,11,O,13245,.,.,.,1
NOR,1,f,16,1,E,1,1,1846,11,O,13463,.,.,.,1
NOR,1,f,17,1,E,1,1,1846,11,O,12698,.,.,.,1
NOR,1,f,18,1,E,1,1,1846,11,O,12644,.,.,.,1
NOR,1,f,19,1,E,1,1,1846,11,O,13630,.,.,.,1
NOR,1,f,20,1,E,1,1,1846,11,O,13546,.,.,.,1
NOR,1,f,21,1,E,1,1,1846,11,O,12824,.,.,.,1
NOR,1,f,22,1,E,1,1,1846,11,O,13202,.,.,.,1
NOR,1,f,23,1,E,1,1,1846,11,O,12772,.,.,.,1
NOR,1,f,24,1,E,1,1,1846,11,O,13222,.,.,.,1
NOR,1,f,25,1,E,1,1,1846,11,O,12396,.,.,.,1
NOR,1,f,26,1,E,1,1,1846,11,O,11615,.,.,.,1
NOR,1,f,27,1,E,1,1,1846,11,O,10768,.,.,.,1
NOR,1,f,28,1,E,1,1,1846,11,O,11095,.,.,.,1
NOR,1,f,29,1,E,1,1,1846,11,O,11539,.,.,.,1
NOR,1,f,30,1,E,1,1,1846,11,O,9605,.,.,.,1
NOR,1,f,31,1,E,1,1,1846,11,O,7424,.,.,.,1
NOR,1,f,32,1,E,1,1,1846,11,O,7771,.,.,.,1
NOR,1,f,33,1,E,1,1,1846,11,O,8537,.,.,.,1
NOR,1,f,34,1,E,1,1,1846,11,O,7770,.,.,.,1
NOR,1,f,35,1,E,1,1,1846,11,O,7293,.,.,.,1
NOR,1,f,36,1,E,1,1,1846,11,O,6082,.,.,.,1
NOR,1,f,37,1,E,1,1,1846,11,O,7515,.,.,.,1
NOR,1,f,38,1,E,1,1,1846,11,O,7784,.,.,.,1
