PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
PRT,10,f,0,1,C,1,12,1930,13,O,71505,.,.,.,0
PRT,10,f,1,1,C,1,12,1930,13,O,69584,.,.,.,0
PRT,10,f,2,1,C,1,12,1930,13,O,81025,.,.,.,0
PRT,10,f,3,1,C,1,12,1930,13,O,78400,.,.,.,0
PRT,10,f,4,1,C,1,12,1930,13,O,80215,.,.,.,0
PRT,10,f,5,1,C,1,12,1930,13,O,77608,.,.,.,0
PRT,10,f,6,1,C,1,12,1930,13,O,77559,.,.,.,0
PRT,10,f,7,1,C,1,12,1930,13,O,79163,.,.,.,0
PRT,10,f,8,1,C,1,12,1930,13,O,72405,.,.,.,0
PRT,10,f,9,1,C,1,12,1930,13,O,67709,.,.,.,0
PRT,10,f,10,1,C,1,12,1930,13,O,73492,.,.,.,0
PRT,10,f,11,1,C,1,12,1930,13,O,54447,.,.,.,0
PRT,10,f,12,1,C,1,12,1930,13,O,64335,.,.,.,0
PRT,10,f,13,1,C,1,12,1930,13,O,60368,.,.,.,0
PRT,10,f,14,1,C,1,12,1930,13,O,63724,.,.,.,0
PRT,10,f,15,5,C,1,12,1930,13,O,344489,.,.,.,0
PRT,10,f,20,5,C,1,12,1930,13,O,322174,.,.,.,0
PRT,10,f,25,5,C,1,12,1930,13,O,287879,.,.,.,0
PRT,10,f,30,5,C,1,12,1930,13,O,239092,.,.,.,0
PRT,10,f,35,5,C,1,12,1930,13,O,220078,.,.,.,0
PRT,10,f,40,5,C,1,12,1930,13,O,204964,.,.,.,0
PRT,10,f,45,5,C,1,12,1930,13,O,181026,.,.,.,0
PRT,10,f,50,5,C,1,12,1930,13,O,173833,.,.,.,0
PRT,10,f,55,5,C,1,12,1930,13,O,141652,.,.,.,0
PRT,10,f,60,5,C,1,12,1930,13,O,128179,.,.,.,0
PRT,10,f,65,5,C,1,12,1930,13,O,94306,.,.,.,0
PRT,10,f,70,5,C,1,12,1930,13,O,72502,.,.,.,0
PRT,10,f,75,5,C,1,12,1930,13,O,43038,.,.,.,0
PRT,10,f,80,5,C,1,12,1930,13,O,24116,.,.,.,0
PRT,10,f,85,5,C,1,12,1930,13,O,9592,.,.,.,0
PRT,10,f,90,5,C,1,12,1930,13,O,3258,.,.,.,0
PRT,10,f,95,5,C,1,12,1930,13,O,1255,.,.,.,0
PRT,10,f,100,+,C,1,12,1930,13,O,354,.,.,.,0
PRT,10,f,TOT,.,C,1,12,1930,13,O,3570007,.,.,.,0
PRT,10,f,UNK,.,C,1,12,1930,13,O,6681,.,.,.,0
PRT,10,m,0,1,C,1,12,1930,13,O,73094,.,.,.,0
PRT,10,m,1,1,C,1,12,1930,13,O,71094,.,.,.,0
PRT,10,m,2,1,C,1,12,1930,13,O,82477,.,.,.,0
PRT,10,m,3,1,C,1,12,1930,13,O,80009,.,.,.,0
PRT,10,m,4,1,C,1,12,1930,13,O,82224,.,.,.,0
PRT,10,m,5,1,C,1,12,1930,13,O,79756,.,.,.,0
PRT,10,m,6,1,C,1,12,1930,13,O,78934,.,.,.,0
PRT,10,m,7,1,C,1,12,1930,13,O,82070,.,.,.,0
PRT,10,m,8,1,C,1,12,1930,13,O,76075,.,.,.,0
PRT,10,m,9,1,C,1,12,1930,13,O,70929,.,.,.,0
PRT,10,m,10,1,C,1,12,1930,13,O,74255,.,.,.,0
PRT,10,m,11,1,C,1,12,1930,13,O,57426,.,.,.,0
PRT,10,m,12,1,C,1,12,1930,13,O,66878,.,.,.,0
PRT,10,m,13,1,C,1,12,1930,13,O,62578,.,.,.,0
PRT,10,m,14,1,C,1,12,1930,13,O,68764,.,.,.,0
PRT,10,m,15,5,C,1,12,1930,13,O,338290,.,.,.,0
PRT,10,m,20,5,C,1,12,1930,13,O,303461,.,.,.,0
PRT,10,m,25,5,C,1,12,1930,13,O,247252,.,.,.,0
PRT,10,m,30,5,C,1,12,1930,13,O,202688,.,.,.,0
PRT,10,m,35,5,C,1,12,1930,13,O,189979,.,.,.,0
PRT,10,m,40,5,C,1,12,1930,13,O,172401,.,.,.,0
PRT,10,m,45,5,C,1,12,1930,13,O,150846,.,.,.,0
PRT,10,m,50,5,C,1,12,1930,13,O,143997,.,.,.,0
PRT,10,m,55,5,C,1,12,1930,13,O,117213,.,.,.,0
PRT,10,m,60,5,C,1,12,1930,13,O,101940,.,.,.,0
PRT,10,m,65,5,C,1,12,1930,13,O,71878,.,.,.,0
PRT,10,m,70,5,C,1,12,1930,13,O,51438,.,.,.,0
PRT,10,m,75,5,C,1,12,1930,13,O,29779,.,.,.,0
PRT,10,m,80,5,C,1,12,1930,13,O,14537,.,.,.,0
PRT,10,m,85,5,C,1,12,1930,13,O,5365,.,.,.,0
PRT,10,m,90,5,C,1,12,1930,13,O,1545,.,.,.,0
PRT,10,m,95,5,C,1,12,1930,13,O,521,.,.,.,0
PRT,10,m,100,+,C,1,12,1930,13,O,147,.,.,.,0
PRT,10,m,TOT,.,C,1,12,1930,13,O,3255876,.,.,.,0
PRT,10,m,UNK,.,C,1,12,1930,13,O,6036,.,.,.,0
PRT,10,f,0,1,C,12,12,1940,13,O,75119,.,.,.,1
PRT,10,f,1,1,C,12,12,1940,13,O,76793,.,.,.,1
PRT,10,f,2,1,C,12,12,1940,13,O,83059,.,.,.,1
PRT,10,f,3,1,C,12,12,1940,13,O,85840,.,.,.,1
